MODEL           RRMSE      TIME       MPE      TIME
-----------  --------  --------  --------  --------
AMF          0.263113  2.20667   0.362255  1.68606
AMF_OVERLAP  0.323669  5.43268   0.460004  4.84699
NMF          0.159294  4.75343   0.336252  4.75343
NMF_OVERLAP  0.231055  5.81479   0.40886   6.89632
RFR          0.166437  0.489417  0.25129   0.489417
LSTM         0.184713  8.09709   0.294525  8.09709
GRU          0.188949  7.96165   0.306028  7.96165
EXP          0.183454  0.019105  0.259409  0.019105
SARIMAX      0.22992   1.02915   0.314248  1.02915
